event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
SOM50109,2025-05-14,2025,1,Strategic developments,Strategic developments,Other,Al Shabaab,,Rebel group,,,,Rebel group only,,706,Eastern Africa,Somalia,Lower Juba,Afmadow,,Miido,0.3094,42.1501,1,Undisclosed Source,Local partner-Other,"Non-violent activity: On 14 May 2025, Al Shabaab imposed 'Zakawaad' (heavy taxation) in Miido village (Afmadow, Lower Juba) and Harbole (coded separately). The move comes amid the increased pastoralist population.",0,,1753971829
SOM50110,2025-05-14,2025,1,Demonstrations,Protests,Peaceful protest,Protesters (Somalia),Women (Somalia),Protesters,,,,Protesters only,,706,Eastern Africa,Somalia,Togdheer,Burco,,Burco,9.7450,45.6340,1,Undisclosed Source,Local partner-Other,"On 14 May 2025, a group of women and children protested in Burco town (Burco, Togdheer) against the directive issued by the Burao Security Committee to take over their land.",0,crowd size=no report,1747779318
SOM50111,2025-05-08,2025,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Al Shabaab,,Rebel group,,,,Rebel group only,,706,Eastern Africa,Somalia,Hiraan,Belet Weyne,,Belet Weyne,4.7360,45.2043,1,Undisclosed Source,Local partner-Other,"On 8 May 2025, an IED concealed on top of a police checkpoint planted by Al Shabaab exploded, targeting police officers at the checkpoint in Kutiimbo area in Koshin neighborhood in Belet Weyne town (Belet Weyne, Hiraan). The police forces were not present at the time of the explosion.",0,,1753971829
SOM50112,2025-05-08,2025,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Al Shabaab,,Rebel group,Military Forces of Somalia (2022-),,State forces,State forces-Rebel group,,706,Eastern Africa,Somalia,Hiraan,Belet Weyne,,Belet Weyne,4.7360,45.2043,1,Undisclosed Source,Local partner-Other,"On 8 May 2025, an IED planted by Al Shabaab exploded, targeting government security forces (SNA) at the checkpoint in Indhafiiq neighborhood in Belet Weyne town (Belet Weyne, Hiraan). 1 soldier was injured.",0,,1753971829
SOM50113,2025-05-14,2025,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Al Shabaab,,Rebel group,Military Forces of Ethiopia (2018-),,External/Other forces,Rebel group-External/Other forces,,706,Eastern Africa,Somalia,Bakool,Waajid,,Waajid,3.8096,43.2463,1,Al Furqaan; Calamada; Undisclosed Source,Local partner-Other,"On 14 May 2025, an IED planted by Al Shabaab exploded, targeting Ethiopia security forces (non-AUSSOM) convoy along the road the airstrip in Waajid town (Waajid, Bakool). Al Shabaab claimed to have injured at least 8 soldiers.",0,,1753956296
SOM50115,2025-05-14,2025,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Al Shabaab,,Rebel group,Police Forces of Somalia (2022-),Civilians (Somalia),State forces,State forces-Rebel group,,706,Eastern Africa,Somalia,Banadir,Banadir,,Mogadishu - Karan,2.0652,45.3900,1,Undisclosed Source,Local partner-Other,"On 14 May 2025, a roadside IED planted by Al Shabaab exploded, targeting a police vehicle traveling on the road in Kawada neighborhood in Mogadishu - Karan (Banadir). The blast missed its intended target, it hit a minibus nearby, which was also traveling on the road. 2 civilians were injured.",0,,1753971829
SOM50116,2025-05-16,2025,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Al Shabaab,,Rebel group,Civilians (Somalia),Government of Somalia (2022-) Southwest Administration,Civilians,Rebel group-Civilians,Civilian targeting,706,Eastern Africa,Somalia,Lower Shabelle,Marka,,Marka,1.7131,44.7639,1,Al Furqaan,National,"On 16 May 2025, an IED planted by Al Shabaab exploded, targeting the district commissioner and other officials in Marka town (Marka, Lower Shabelle). 2 officials were injured. Al Shabaab claimed responsibility.",0,local administrators,1754411191
SOM50117,2025-05-15,2025,1,Demonstrations,Riots,Violent demonstration,Rioters (Somalia),,Rioters,Police Forces of Somaliland (2024-),,State forces,State forces-Rioters,,706,Eastern Africa,Somalia,Togdheer,Burco,,Burco,9.7450,45.6340,1,Caasimada; Garowe Online; Hiiraan (Somalia); Horseed Media; Somaliland Standard; Undisclosed Source,Local partner-Other,"On 15 May 2025, hundreds of residents burned tires and blocked the main roads in Burco town (Burco, Togdheer) expressing opposition to the arrest of Col. Faysal Abdi Botan by SSC Khatumo. Somaliland police forces fired live bullets to disperse the demonstrators. 2 people were killed, 40 injured and more than 90 were arrested.",2,crowd size=hundreds,1747779318
SOM49748,2025-04-07,2025,1,Strategic developments,Strategic developments,Change to group/activity,Al Shabaab,,Rebel group,,,,Rebel group only,,706,Eastern Africa,Somalia,Lower Juba,Afmadow,,Biibi,0.1724,42.2286,1,Undisclosed Source,Local partner-Other,"Movement of forces: On 7 April 2025, around 60 Al Shabaab who relocated from Harboole, have reached Biibi village (Afmadow, Lower Shabelle). The motive behind the movement is unknown.",0,,1753971829
SOM49907,2025-04-21,2025,1,Strategic developments,Strategic developments,Change to group/activity,Al Shabaab,,Rebel group,,,,Rebel group only,,706,Eastern Africa,Somalia,Lower Juba,Afmadow,,Jana Cabdalle,0.0288,42.2882,2,Undisclosed Source,Local partner-Other,"Movement of forces: On 21 April 2025, 100 Al Shabaab armed with light weapons were observed conducting operational activity in the vicinity of Filfil village, near Jana Cabdalle village (Afmadow, Lower Juba).",0,,1753971829
